=== clean (-A256m) ===
PROBE49 evt=1 site=tcTopBinds_entry_total n=8
PROBE49 evt=2 site=tcTopBinds_entry_groups n=8
PROBE49 evt=3 site=tcValBinds_entry_total n=8
PROBE49 evt=4 site=tcBindGroups_in_remaining n=7
PROBE49 evt=5 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=6 site=tc_group_nonrec_in n=1
PROBE49 evt=7 site=tcBindGroups_in_remaining n=6
PROBE49 evt=8 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=9 site=tc_group_nonrec_in n=1
PROBE49 evt=10 site=tcBindGroups_in_remaining n=5
PROBE49 evt=11 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=12 site=tc_group_nonrec_in n=1
PROBE49 evt=13 site=tcBindGroups_in_remaining n=4
PROBE49 evt=14 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=15 site=tc_group_nonrec_in n=1
PROBE49 evt=16 site=tcBindGroups_in_remaining n=3
PROBE49 evt=17 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=18 site=tc_group_nonrec_in n=1
PROBE49 evt=19 site=tcBindGroups_in_remaining n=2
PROBE49 evt=20 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=21 site=tc_group_nonrec_in n=1
PROBE49 evt=22 site=tcBindGroups_in_remaining n=1
PROBE49 evt=23 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=24 site=tc_group_nonrec_in n=1
PROBE49 evt=25 site=tcBindGroups_in_remaining n=0
PROBE49 evt=26 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=27 site=tc_group_nonrec_in n=1
PROBE49 evt=28 site=tcValBinds_entry_total n=1
PROBE49 evt=29 site=tcBindGroups_in_remaining n=0
PROBE49 evt=30 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=31 site=tc_group_nonrec_in n=1
PROBE49 evt=32 site=tcBindGroups_recursion_done n=0
PROBE49 evt=33 site=tc_group_nonrec_out n=1
PROBE49 evt=34 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=35 site=tcValBinds_exit_total n=1
PROBE49 evt=36 site=tcValBinds_after_tcBindGroups n=1
PROBE49 evt=37 site=tcBindGroups_recursion_done n=0
PROBE49 evt=38 site=tc_group_nonrec_out n=1
PROBE49 evt=39 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=40 site=tc_group_nonrec_out n=1
PROBE49 evt=41 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=42 site=tc_group_nonrec_out n=1
PROBE49 evt=43 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=44 site=tc_group_nonrec_out n=1
PROBE49 evt=45 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=46 site=tc_group_nonrec_out n=1
PROBE49 evt=47 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=48 site=tc_group_nonrec_out n=1
PROBE49 evt=49 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=50 site=tc_group_nonrec_out n=1
PROBE49 evt=51 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=52 site=tc_group_nonrec_out n=1
PROBE49 evt=53 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=54 site=tcValBinds_exit_total n=8
PROBE49 evt=55 site=tcValBinds_after_tcBindGroups n=8
PROBE49 evt=56 site=tcTopBinds_after_tcValBinds n=8
PROBE49 evt=57 site=tcTopBinds_entry_total n=0
PROBE49 evt=58 site=tcTopBinds_entry_groups n=0
PROBE49 evt=59 site=tcValBinds_entry_total n=0
PROBE49 evt=60 site=tcBindGroups_recursion_done n=0
PROBE49 evt=61 site=tcValBinds_exit_total n=0
PROBE49 evt=62 site=tcValBinds_after_tcBindGroups n=0
PROBE49 evt=63 site=tcTopBinds_after_tcValBinds n=0
RC=0

=== failing len=600 (-A1m -G1) ===
PROBE49 evt=1 site=tcTopBinds_entry_total n=2
PROBE49 evt=2 site=tcTopBinds_entry_groups n=2
PROBE49 evt=3 site=tcValBinds_entry_total n=2
PROBE49 evt=4 site=tcBindGroups_in_remaining n=1
PROBE49 evt=5 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=6 site=tc_group_nonrec_in n=1
PROBE49 evt=7 site=tcBindGroups_in_remaining n=0
PROBE49 evt=8 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=9 site=tc_group_nonrec_in n=1
PROBE49 evt=10 site=tcValBinds_entry_total n=1
PROBE49 evt=11 site=tcBindGroups_in_remaining n=0
PROBE49 evt=12 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=13 site=tc_group_nonrec_in n=1
PROBE49 evt=14 site=tcBindGroups_recursion_done n=0
PROBE49 evt=15 site=tc_group_nonrec_out n=1
PROBE49 evt=16 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=17 site=tcValBinds_exit_total n=1
PROBE49 evt=18 site=tcValBinds_after_tcBindGroups n=1
PROBE49 evt=19 site=tcBindGroups_recursion_done n=0
PROBE49 evt=20 site=tc_group_nonrec_out n=1
PROBE49 evt=21 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=22 site=tc_group_nonrec_out n=1
PROBE49 evt=23 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=24 site=tcValBinds_exit_total n=2
PROBE49 evt=25 site=tcValBinds_after_tcBindGroups n=2
PROBE49 evt=26 site=tcTopBinds_after_tcValBinds n=2
PROBE49 evt=27 site=tcTopBinds_entry_total n=0
PROBE49 evt=28 site=tcTopBinds_entry_groups n=0
PROBE49 evt=29 site=tcValBinds_entry_total n=0
PROBE49 evt=30 site=tcBindGroups_recursion_done n=0
PROBE49 evt=31 site=tcValBinds_exit_total n=0
PROBE49 evt=32 site=tcValBinds_after_tcBindGroups n=0
PROBE49 evt=33 site=tcTopBinds_after_tcValBinds n=0
RC=0

=== failing len=1650 (-A1m -G1) ===
PROBE49 evt=1 site=tcTopBinds_entry_total n=3
PROBE49 evt=2 site=tcTopBinds_entry_groups n=2
PROBE49 evt=3 site=tcValBinds_entry_total n=3
PROBE49 evt=4 site=tcBindGroups_in_remaining n=1
PROBE49 evt=5 site=tcBindGroups_in_groupsize n=1
PROBE49 evt=6 site=tc_group_nonrec_in n=1
PROBE49 evt=7 site=tcBindGroups_in_remaining n=0
PROBE49 evt=8 site=tcBindGroups_in_groupsize n=2
PROBE49 evt=9 site=tc_group_rec_in n=2
PROBE49 evt=10 site=tcBindGroups_recursion_done n=0
PROBE49 evt=11 site=tc_group_rec_out n=1
PROBE49 evt=12 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=13 site=tc_group_nonrec_out n=1
PROBE49 evt=14 site=tcBindGroups_out_groupsize n=1
PROBE49 evt=15 site=tcValBinds_exit_total n=2
PROBE49 evt=16 site=tcValBinds_after_tcBindGroups n=2
PROBE49 evt=17 site=tcTopBinds_after_tcValBinds n=2
PROBE49 evt=18 site=tcTopBinds_entry_total n=0
PROBE49 evt=19 site=tcTopBinds_entry_groups n=0
PROBE49 evt=20 site=tcValBinds_entry_total n=0
PROBE49 evt=21 site=tcBindGroups_recursion_done n=0
PROBE49 evt=22 site=tcValBinds_exit_total n=0
PROBE49 evt=23 site=tcValBinds_after_tcBindGroups n=0
PROBE49 evt=24 site=tcTopBinds_after_tcValBinds n=0
RC=0
