=== clean (-A256m) ===
PROBE50 evt=1 site=rnValBindsLHS_in_mbinds n=8
PROBE50 evt=2 site=rnValBindsLHS_after_mapBagM n=8
PROBE50 evt=3 site=rnValBindsRHS_in_mbinds n=8
PROBE50 evt=4 site=rnValBindsLHS_in_mbinds n=1
PROBE50 evt=5 site=rnValBindsLHS_after_mapBagM n=1
PROBE50 evt=6 site=rnValBindsRHS_in_mbinds n=1
PROBE50 evt=7 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=1
PROBE50 evt=8 site=depAnalBinds_list_len n=1
PROBE50DG evt=1 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=2 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=3 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=4 site=stronglyConnCompG_forest_len n=1
PROBE50NE evt=1 site=depAnal_scc_result n=1
PROBE50NE evt=2 site=depAnal_graph_nodes n=1
PROBE50NE evt=3 site=depAnal_keyed_nodes n=1
PROBE50NE evt=4 site=depAnal_nodes_in n=1
PROBE50 evt=9 site=depAnalBinds_sccs_len n=1
PROBE50 evt=10 site=depAnalBinds_bag_in n=1
PROBE50 evt=11 site=rnValBindsRHS_after_depAnal_groups n=1
PROBE50 evt=12 site=rnValBindsRHS_after_depAnal_total n=1
PROBE50 evt=13 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=8
PROBE50 evt=14 site=depAnalBinds_list_len n=8
PROBE50DG evt=5 site=graphFromEdgedVertices_numbered_nodes n=8
PROBE50DG evt=6 site=graphFromEdgedVertices_in_nodes n=8
PROBE50DG evt=7 site=stronglyConnCompG_result_len n=8
PROBE50DG evt=8 site=stronglyConnCompG_forest_len n=8
PROBE50NE evt=5 site=depAnal_scc_result n=8
PROBE50NE evt=6 site=depAnal_graph_nodes n=8
PROBE50NE evt=7 site=depAnal_keyed_nodes n=8
PROBE50NE evt=8 site=depAnal_nodes_in n=8
PROBE50 evt=15 site=depAnalBinds_sccs_len n=8
PROBE50 evt=16 site=depAnalBinds_bag_in n=8
PROBE50 evt=17 site=rnValBindsRHS_after_depAnal_groups n=8
PROBE50 evt=18 site=rnValBindsRHS_after_depAnal_total n=8
PROBE50DG evt=9 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=10 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=11 site=stronglyConnCompG_forest_len n=0
PROBE50 evt=19 site=rnValBindsLHS_in_mbinds n=0
PROBE50 evt=20 site=rnValBindsLHS_after_mapBagM n=0
PROBE50 evt=21 site=rnValBindsRHS_in_mbinds n=0
PROBE50 evt=22 site=rnValBindsRHS_after_mapBagM_binds_w_dus n=0
PROBE50 evt=23 site=depAnalBinds_list_len n=0
PROBE50DG evt=12 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=13 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=14 site=stronglyConnCompG_forest_len n=0
PROBE50NE evt=9 site=depAnal_scc_result n=0
PROBE50NE evt=10 site=depAnal_graph_nodes n=0
PROBE50NE evt=11 site=depAnal_keyed_nodes n=0
PROBE50NE evt=12 site=depAnal_nodes_in n=0
PROBE50 evt=24 site=depAnalBinds_sccs_len n=0
PROBE50 evt=25 site=depAnalBinds_bag_in n=0
PROBE50 evt=26 site=rnValBindsRHS_after_depAnal_groups n=0
PROBE50 evt=27 site=rnValBindsRHS_after_depAnal_total n=0
PROBE50DG evt=15 site=graphFromEdgedVertices_numbered_nodes n=6
PROBE50DG evt=16 site=graphFromEdgedVertices_in_nodes n=6
PROBE50DG evt=17 site=stronglyConnCompG_result_len n=6
PROBE50DG evt=18 site=stronglyConnCompG_forest_len n=6
PROBE50DG evt=19 site=graphFromEdgedVertices_numbered_nodes n=15
PROBE50DG evt=20 site=graphFromEdgedVertices_in_nodes n=15
PROBE50DG evt=21 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=22 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=23 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=24 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=25 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=26 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=27 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=28 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=29 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=30 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=31 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=32 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=33 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=34 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=35 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=36 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=37 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=38 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=39 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=40 site=graphFromEdgedVertices_numbered_nodes n=2
PROBE50DG evt=41 site=graphFromEdgedVertices_in_nodes n=2
PROBE50DG evt=42 site=stronglyConnCompG_result_len n=2
PROBE50DG evt=43 site=stronglyConnCompG_forest_len n=2
PROBE50DG evt=44 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=45 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=46 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=47 site=graphFromEdgedVertices_numbered_nodes n=3
PROBE50DG evt=48 site=graphFromEdgedVertices_in_nodes n=3
PROBE50DG evt=49 site=stronglyConnCompG_result_len n=3
PROBE50DG evt=50 site=stronglyConnCompG_forest_len n=3
PROBE50DG evt=51 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=52 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=53 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=54 site=graphFromEdgedVertices_numbered_nodes n=3
PROBE50DG evt=55 site=graphFromEdgedVertices_in_nodes n=3
PROBE50DG evt=56 site=stronglyConnCompG_result_len n=3
PROBE50DG evt=57 site=stronglyConnCompG_forest_len n=3
PROBE50DG evt=58 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=59 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=60 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=61 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=62 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=63 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=64 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=65 site=graphFromEdgedVertices_numbered_nodes n=2
PROBE50DG evt=66 site=graphFromEdgedVertices_in_nodes n=2
PROBE50DG evt=67 site=stronglyConnCompG_result_len n=2
PROBE50DG evt=68 site=stronglyConnCompG_forest_len n=2
PROBE50DG evt=69 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=70 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=71 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=72 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=73 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=74 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=75 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=76 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=77 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=78 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=79 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=80 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=81 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=82 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=83 site=stronglyConnCompG_result_len n=15
PROBE50DG evt=84 site=stronglyConnCompG_forest_len n=15
PROBE50DG evt=85 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=86 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=87 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=88 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=89 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=90 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=91 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=92 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=93 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=94 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=95 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=96 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=97 site=graphFromEdgedVertices_numbered_nodes n=16
PROBE50DG evt=98 site=graphFromEdgedVertices_in_nodes n=16
PROBE50DG evt=99 site=stronglyConnCompG_result_len n=16
PROBE50DG evt=100 site=stronglyConnCompG_forest_len n=16
PROBE50NE evt=13 site=depAnal_scc_result n=16
PROBE50NE evt=14 site=depAnal_graph_nodes n=16
PROBE50NE evt=15 site=depAnal_keyed_nodes n=16
PROBE50NE evt=16 site=depAnal_nodes_in n=16
PROBE50DG evt=101 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=102 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=103 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=104 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=105 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=106 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=107 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=108 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=109 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=110 site=graphFromEdgedVertices_numbered_nodes n=1
PROBE50DG evt=111 site=graphFromEdgedVertices_in_nodes n=1
PROBE50DG evt=112 site=stronglyConnCompG_result_len n=1
PROBE50DG evt=113 site=stronglyConnCompG_forest_len n=1
PROBE50DG evt=114 site=graphFromEdgedVertices_empty_input n=0
PROBE50DG evt=115 site=stronglyConnCompG_result_len n=0
PROBE50DG evt=116 site=stronglyConnCompG_forest_len n=0
PROBE50DG evt=117 site=graphFromEdgedVertices_numbered_nodes n=3
