
=== GHCi should_{run,fail} results (host=pmacg5, ghc=/opt/ghc-stage2/bin/ghc-real) ===
  PASS  T10549         (sf/ghci_script, rc=0)
  PASS  T10549a        (sf/ghci_script, rc=0)
  PASS  T15055         (sf/ghci_script, rc=0)
  PASS  T16013         (sf/ghci_script, rc=0)
  PASS  T16287         (sf/ghci_script, rc=0)
  PASS  T18052b        (sf/ghci_script, rc=0)
  PASS  T18027a        (sf/ghci_script, rc=0)
  PASS  T9914          (sr/ghci_script, rc=0)
  PASS  T9915          (sr/ghci_script, rc=0)
  PASS  T10145         (sr/ghci_script, rc=0)
  PASS  T7253          (sr/ghci_script, rc=0)
  PASS  T10857a        (sr/ghci_script, rc=0)
  PASS  T10857b        (sr/ghci_script, rc=0)
  PASS  T11328         (sr/ghci_script, rc=0)
  PASS  T11825         (sr/ghci_script, rc=0)
  PASS  T12128         (sr/ghci_script, rc=0)
  PASS  T12456         (sr/ghci_script, rc=0)
  PASS  T12525         (sr/ghci_script, rc=0)
  PASS  T12549         (sr/ghci_script, rc=0)
  PASS  T13456         (sr/ghci_script, rc=0)
  PASS  T14125a        (sr/ghci_script, rc=0)
  PASS  T13825-ghci    (sr/ghci_script, rc=0)
  PASS  T14608         (sr/ghci_script, rc=0)
  PASS  T14963a        (sr/ghci_script, rc=0)
  PASS  T14963b        (sr/ghci_script, rc=0)
  PASS  T14963c        (sr/ghci_script, rc=0)
  PASS  T15007         (sr/ghci_script, rc=0)
  PASS  T15806         (sr/ghci_script, rc=0)
  PASS  T15369         (sr/ghci_script, rc=0)
  PASS  T16012         (sr/ghci_script, rc=0)
  PASS  T16096         (sr/ghci_script, rc=0)
  PASS  T507           (sr/ghci_script, rc=0)
  FAIL  T18027         (sr/ghci_script, rc=0)  stdout mismatch;stderr non-empty but no expected.stderr
  PASS  T18594         (sr/ghci_script, rc=0)
  PASS  T18562         (sr/ghci_script, rc=0)
  PASS  T19460         (sr/ghci_script, rc=0)
  PASS  ghcirun001     (sr/compile_and_run, rc=0)
  PASS  ghcirun002     (sr/compile_and_run, rc=0)
  PASS  ghcirun003     (sr/compile_and_run, rc=0)
  PASS  ghcirun004     (sr/compile_and_run, rc=0)
  PASS  T2589          (sr/compile_and_run, rc=0)
  PASS  T2881          (sr/compile_and_run, rc=0)
  PASS  T8377          (sr/compile_and_run, rc=0)
  PASS  T19628         (sr/compile_and_run, rc=0)

=== Summary: 43 PASS / 1 FAIL out of 44 tests ===
Failed: T18027
Diffs in /Users/cell/claude/ghc-darwin8-ppc/docs/sessions/2026-05-17-session-67-ghci-should-runner/logs/ghci-should/<test>/{actual,expected,run,comp}.* 
